,tag,count,class,tsne_0,tsne_1,cName,colour_class,rank,size_objs,alpha_val
161,ssl,34433,Stack Overflow,8.722748,7.0585537,Computer Science,blue,117,0.8871657754010696,0.7497326203208556
162,ipad,34324,Stack Overflow,7.133134,15.041025,Computer Science,blue,118,0.8844919786096257,0.7475935828877005
164,jpa,33577,Stack Overflow,-3.8272455,-8.719600999999999,Computer Science,blue,119,0.8818181818181818,0.7454545454545454
165,generics,33474,Stack Overflow,-6.4421573,-7.361328599999999,Computer Science,blue,120,0.879144385026738,0.7433155080213905
166,jsf,33297,Stack Overflow,1.9151516,-1.4364723999999998,Computer Science,blue,121,0.8764705882352941,0.7411764705882353
167,url,33225,Stack Overflow,1.1731824,8.156792999999999,Computer Science,blue,122,0.8737967914438503,0.7390374331550802
168,animation,33166,Stack Overflow,12.1087675,8.625397,Computer Science,blue,123,0.8711229946524064,0.7368983957219253
170,firefox,32486,Stack Overflow,0.8715553,5.0381184,Computer Science,blue,124,0.8684491978609625,0.7347593582887701
172,redirect,32184,Stack Overflow,2.4420888,-13.149353,Computer Science,blue,125,0.8657754010695187,0.732620320855615
173,curl,31410,Stack Overflow,-9.490435,-1.5206361000000002,Computer Science,blue,126,0.8631016042780748,0.7304812834224599
175,unity3d,31113,Stack Overflow,-1.9236993000000002,-3.0484252,Computer Science,blue,127,0.860427807486631,0.728342245989305
177,asynchronous,30950,Stack Overflow,-1.2046525,12.370716,Computer Science,blue,128,0.8577540106951871,0.7262032085561498
178,inheritance,30859,Stack Overflow,-6.116871,-3.4223483,Computer Science,blue,129,0.8550802139037432,0.7240641711229947
180,exception,30492,Stack Overflow,-6.746189,-4.860639,Computer Science,blue,130,0.8524064171122996,0.7219251336898396
181,testing,30456,Stack Overflow,10.524944999999999,-6.179539,Computer Science,blue,131,0.8497326203208557,0.7197860962566844
182,events,30167,Stack Overflow,-0.97829366,-11.138169,Computer Science,blue,132,0.8470588235294119,0.7176470588235295
183,opengl,30165,Stack Overflow,4.845379,8.332742,Computer Science,blue,133,0.844385026737968,0.7155080213903744
184,xslt,29978,Stack Overflow,3.0282934,6.5147133,Computer Science,blue,134,0.8417112299465241,0.7133689839572193
185,nginx,29962,Stack Overflow,-1.4070988000000002,-3.962161,Computer Science,blue,135,0.8390374331550803,0.7112299465240641
186,caching,29941,Stack Overflow,6.731253,-0.28401598,Computer Science,blue,136,0.8363636363636364,0.7090909090909092
188,servlets,29673,Stack Overflow,0.4023532,2.300615,Computer Science,blue,137,0.8336898395721926,0.7069518716577541
189,post,29664,Stack Overflow,-11.747347999999999,-4.416812999999999,Computer Science,blue,138,0.8310160427807487,0.704812834224599
190,math,29532,Stack Overflow,4.8586529999999994,-6.903726,Computer Science,blue,139,0.8283422459893048,0.7026737967914438
191,dom,29432,Stack Overflow,8.448938,-2.5115043999999997,Computer Science,blue,140,0.825668449197861,0.7005347593582889
194,iis,29341,Stack Overflow,-2.9259098,5.009421,Computer Science,blue,141,0.8229946524064171,0.6983957219251338
195,select,29314,Stack Overflow,4.7237754,-13.580086999999999,Computer Science,blue,142,0.8203208556149733,0.6962566844919786
197,join,29173,Stack Overflow,2.6864254,-13.059055,Computer Science,blue,143,0.8176470588235294,0.6941176470588235
198,button,29122,Stack Overflow,-5.9802045999999995,7.1350945999999995,Computer Science,blue,144,0.8149732620320855,0.6919786096256685
200,recursion,29002,Stack Overflow,5.5819220000000005,3.4554138,Computer Science,blue,145,0.8122994652406417,0.6898395721925135
201,search,28800,Stack Overflow,-0.05538498,7.975176299999999,Computer Science,blue,146,0.8096256684491978,0.6877005347593583
202,gcc,28687,Stack Overflow,-6.036049,4.949460500000001,Computer Science,blue,147,0.806951871657754,0.6855614973262033
203,go,28231,Stack Overflow,3.24333,-14.086727999999999,Computer Science,blue,148,0.8042780748663101,0.6834224598930482
206,jenkins,27847,Stack Overflow,-8.333739999999999,-5.6363487,Computer Science,blue,149,0.8016042780748662,0.681283422459893
207,image-processing,27841,Stack Overflow,6.505091,2.175294,Computer Science,blue,150,0.7989304812834224,0.679144385026738
208,grails,27840,Stack Overflow,-5.328925,-5.0005093,Computer Science,blue,151,0.7962566844919787,0.6770053475935829
209,github,27797,Stack Overflow,0.22343947,-8.536795,Computer Science,blue,152,0.7935828877005349,0.6748663101604279
210,audio,27757,Stack Overflow,13.539875,9.339385,Computer Science,blue,153,0.790909090909091,0.6727272727272728
