,tag,count,class,tsne_0,tsne_1,tsne_2,cName,colour_class,rank,size_objs,alpha_val
181,testing,30456,Stack Overflow,-180.26315,24.012587,-7.6541122999999995,Computer Science,blue,131,0.8497326203208557,0.7197860962566844
182,events,30167,Stack Overflow,-70.62145,-33.851353,-44.062607,Computer Science,blue,132,0.8470588235294119,0.7176470588235295
183,opengl,30165,Stack Overflow,-41.39298,59.370709999999995,-145.81313,Computer Science,blue,133,0.844385026737968,0.7155080213903744
184,xslt,29978,Stack Overflow,-67.561066,36.561863,-116.23926499999999,Computer Science,blue,134,0.8417112299465241,0.7133689839572193
185,nginx,29962,Stack Overflow,32.136814,-72.26116,28.911891999999998,Computer Science,blue,135,0.8390374331550803,0.7112299465240641
186,caching,29941,Stack Overflow,36.234386,13.023253,-0.76487345,Computer Science,blue,136,0.8363636363636364,0.7090909090909092
188,servlets,29673,Stack Overflow,15.482872,5.161501,-43.775420000000004,Computer Science,blue,137,0.8336898395721926,0.7069518716577541
189,post,29664,Stack Overflow,-30.485134000000002,-108.19193999999999,-13.038875,Computer Science,blue,138,0.8310160427807487,0.704812834224599
190,math,29532,Stack Overflow,-122.47046,-37.474697,-114.58215,Computer Science,blue,139,0.8283422459893048,0.7026737967914438
191,dom,29432,Stack Overflow,2.6731107000000005,26.991940000000003,-131.27483,Computer Science,blue,140,0.825668449197861,0.7005347593582889
194,iis,29341,Stack Overflow,100.00299,31.171415000000003,-43.724422,Computer Science,blue,141,0.8229946524064171,0.6983957219251338
195,select,29314,Stack Overflow,-94.21975,-4.4100714000000005,-12.047464999999999,Computer Science,blue,142,0.8203208556149733,0.6962566844919786
197,join,29173,Stack Overflow,110.555756,-35.759876,116.037704,Computer Science,blue,143,0.8176470588235294,0.6941176470588235
198,button,29122,Stack Overflow,44.491009999999996,72.77354,61.303143000000006,Computer Science,blue,144,0.8149732620320855,0.6919786096256685
200,recursion,29002,Stack Overflow,-38.07586,-18.758404000000002,-98.53065,Computer Science,blue,145,0.8122994652406417,0.6898395721925135
201,search,28800,Stack Overflow,0.5297261,95.17328,70.84935,Computer Science,blue,146,0.8096256684491978,0.6877005347593583
202,gcc,28687,Stack Overflow,-46.0778,94.71599,53.28679,Computer Science,blue,147,0.806951871657754,0.6855614973262033
203,go,28231,Stack Overflow,-155.55848999999998,20.13137,-70.59923,Computer Science,blue,148,0.8042780748663101,0.6834224598930482
206,jenkins,27847,Stack Overflow,-93.15968000000001,-101.32292,-5.091384,Computer Science,blue,149,0.8016042780748662,0.681283422459893
207,image-processing,27841,Stack Overflow,87.20578,-99.5586,-94.97542,Computer Science,blue,150,0.7989304812834224,0.679144385026738
208,grails,27840,Stack Overflow,1.3846046,-36.619415000000004,-52.40074,Computer Science,blue,151,0.7962566844919787,0.6770053475935829
209,github,27797,Stack Overflow,38.46342,-87.22202,108.47646999999999,Computer Science,blue,152,0.7935828877005349,0.6748663101604279
210,audio,27757,Stack Overflow,75.32494,-52.443096,153.68048000000002,Computer Science,blue,153,0.790909090909091,0.6727272727272728
212,canvas,27530,Stack Overflow,49.411545000000004,-26.958225,-164.0066,Computer Science,blue,154,0.7882352941176471,0.6705882352941177
213,silverlight,27526,Stack Overflow,4.0301237,130.70508,17.72535,Computer Science,blue,155,0.7855614973262033,0.6684491978609626
214,svg,27483,Stack Overflow,32.326283000000004,9.088269,162.17561,Computer Science,blue,156,0.7828877005347594,0.6663101604278074
216,logging,27480,Stack Overflow,110.49621599999999,-0.5010491,79.87768,Computer Science,blue,157,0.7802139037433156,0.6641711229946525
217,video,27395,Stack Overflow,125.75683000000001,122.31249,-26.588781,Computer Science,blue,158,0.7775401069518717,0.6620320855614974
218,meteor,27308,Stack Overflow,-64.936165,-107.76441000000001,-41.049659999999996,Computer Science,blue,159,0.7748663101604278,0.6598930481283423
219,assembly,27264,Stack Overflow,19.907944,-80.747574,-104.65182,Computer Science,blue,160,0.772192513368984,0.6577540106951872
220,matrix,27257,Stack Overflow,-97.25561,68.33019,-116.43104,Computer Science,blue,161,0.7695187165775401,0.6556149732620321
222,networking,27127,Stack Overflow,83.138855,131.17046000000002,52.41769,Computer Science,blue,162,0.7668449197860963,0.6534759358288771
